,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
120,967570.7928934473,1935247.0367171597,967572.4631,1935248.799,1,2.43,3.5,0,-2.672,-2.799325005077385,0.8122166619812182
121,967570.8216572792,1935247.046847568,967572.4631,1935248.799,1,2.4,3.5,0,-2.666,-2.799325005078894,0.8180097320809208
122,967570.8288180972,1935247.049356806,967572.4631,1935248.799,1,2.39,3.5,0,-2.664,-2.7993250050817045,0.8194759364894557
123,967570.8575519108,1935247.0594562225,967572.4631,1935248.799,1,2.37,3.5,0,-2.658,-2.7993250050788667,0.8254341603239536
124,967570.8790946457,1935247.0670306594,967572.4631,1935248.799,1,2.35,3.5,0,-2.654,-2.799325005077512,0.8299901504341766
125,967570.9006373785,1935247.0746051064,967572.4631,1935248.799,1,2.33,3.5,0,-2.649,-2.799325005078825,0.8346249546403808
126,967570.9221798709,1935247.082194798,967572.4631,1935248.799,1,2.31,3.5,0,-2.645,-2.799325005078235,0.8393359437536063
127,967570.9365317696,1935247.087229011,967572.4631,1935248.799,1,2.29,3.5,0,-2.641,-2.79932500507613,0.8425265933362084
128,967570.9580440014,1935247.094802964,967572.4631,1935248.799,1,2.27,3.5,0,-2.636,-2.7993250050776837,0.8473708494677071
129,967570.9723956553,1935247.0998524288,967572.4631,1935248.799,1,2.26,3.5,0,-2.633,-2.7993250050787055,0.8506511284875083
130,967570.9937560925,1935247.1073782006,967572.4631,1935248.799,1,2.24,3.5,0,-2.628,-2.799325005060945,0.8556022145866268
131,967571.0080774882,1935247.1124119316,967572.4631,1935248.799,1,2.23,3.5,0,-2.625,-2.7993250050532046,0.8589742938112709
132,967571.0295902046,1935247.119955381,967572.4631,1935248.799,1,2.21,3.5,0,-2.62,-2.799325005041137,0.864120451289236
133,967571.0438810927,1935247.1249886213,967572.4631,1935248.799,1,2.19,3.5,0,-2.616,-2.799325005041137,0.8675836227507423
134,967571.0652415341,1935247.1325143923,967572.4631,1935248.799,1,2.18,3.5,0,-2.611,-2.7993250050714695,0.8728368413103389
